client,event
client10166,0
client10167,0
client10168,0
client10169,0
client1017,0
client10170,0
client10171,0
client10172,0
client10173,0
client10174,0
client10175,1
client10176,0
client10177,1
client10178,0
client10179,1
client1018,0
client10180,0
client10181,0
client10182,1
client10183,0
client10184,0
client10185,0
client10186,1
client10187,0
client10188,0
client10189,0
client1019,0
client10190,1
client10191,0
client10192,1
client10193,0
client10194,0
client10195,1
client10196,0
client10197,0
client10198,1
client10199,0
client102,0
client1020,0
client10200,1
client10201,0
client10202,1
client10203,0
client10204,1
client10205,0
client10206,1
client10207,1
client10208,0
client10209,1
client1021,1
client10210,1
client10211,1
client10212,0
client10213,0
client10214,0
client10215,0
client10216,1
client10217,0
client10218,0
client10219,1
client1022,0
client10220,0
client10221,0
client10222,0
client10223,0
client10224,1
client10225,1
client10226,0
client10227,1
client10228,0
client10229,0
client1023,0
client10230,0
client10231,1
client10232,0
client10233,0
client10234,1
client10235,0
client10236,0
client10237,0
client10238,0
client10239,0
client1024,1
client10240,0
client10241,0
client10242,0
client10243,0
client10244,1
client10245,0
client10246,0
client10247,0
client10248,0
client10249,1
client1025,0
client10250,0
client10251,0
client10252,0
client10253,0
client10254,0
client10255,0
client10256,0
client10257,0
client10258,0
client10259,0
client1026,0
client10260,0
client10261,1
client10262,0
client10263,0
client10264,0
client10265,0
client10266,0
client10267,1
client10268,0
client10269,0
client1027,0
client10270,0
client10271,0
client10272,0
client10273,0
client10274,0
client10275,0
client10276,1
client10277,0
client10278,0
client10279,0
client1028,0
client10280,0
client10281,0
client10282,0
client10283,0
client10284,0
client10285,1
client10286,0
client10287,0
client10288,0
client10289,0
client1029,0
client10290,0
client10291,0
client10292,0
client10293,0
client10294,0
client10295,0
client10296,1
client10297,0
client10298,1
client10299,0
client103,1
client1030,0
client10300,0
client10301,0
client10302,1
client10303,0
client10304,0
client10305,0
client10306,0
client10307,1
client10308,0
client10309,0
client1031,0
client10310,0
client10311,0
client10312,0
client10313,0
client10314,1
client10315,0
client10316,0
client10317,0
client10318,0
client10319,0
client1032,0
client10320,0
client10321,0
client10322,1
client10323,0
client10324,0
client10325,1
client10326,0
client10327,0
client10328,1
client10329,0
client1033,0
client10330,0
client10331,1
client10332,0
client10333,0
client10334,0
client10335,0
client10336,0
client10337,0
client10338,0
client10339,0
client1034,0
client10340,1
client10341,1
client10342,0
client10343,0
client10344,0
client10345,0
client10346,1
client10347,0
client10348,0
client10349,0
client1035,0
client10350,0
client10351,1
client10352,0
client10353,0
client10354,0
client10355,1
client10356,0
client10357,0
client10358,0
client10359,0
client1036,0
client10360,0
client10361,0
client10362,0
client10363,0
client10364,1
client10365,0
client10366,1
client10367,1
client10368,0
client10369,0
client1037,0
client10370,0
client10371,0
client10372,0
client10373,0
client10374,0
client10375,0
client10376,1
client10377,0
client10378,0
client10379,1
client1038,0
client10380,0
client10381,1
client10382,0
client10383,0
client10384,0
client10385,0
client10386,1
client10387,0
client10388,0
client10389,1
client1039,0
client10390,0
client10391,1
client10392,1
client10393,0
client10394,0
client10395,0
client10396,0
client10397,0
client10398,0
client10399,1
client104,0
client1040,0
client10400,0
client10401,1
client10402,0
client10403,1
client10404,1
client10405,0
client10406,0
client10407,1
client10408,0
client10409,0
client1041,0
client10410,1
client10411,0
client10412,1
client10413,0
client10414,0
client10415,0
client10416,1
client10417,0
client10418,1
client10419,0
client1042,0
client10420,0
client10421,0
client10422,0
client10423,0
client10424,0
client10425,0
client10426,1
client10427,0
client10428,1
client10429,0
client1043,0
client10430,0
client10431,1
client10432,0
client10433,0
client10434,0
client10435,1
client10436,0
client10437,1
client10438,1
client10439,1
client1044,0
client10440,1
client10441,0
client10442,0
client10443,0
client10444,0
client10445,0
client10446,0
client10447,0
client10448,0
client10449,1
client1045,1
client10450,1
client10451,0
client10452,0
client10453,0
client10454,0
client10455,1
client10456,0
client10457,1
client10458,0
client10459,0
client1046,1
client10460,0
client10461,0
client10462,0
client10463,0
client10464,0
client10465,0
client10466,0
client10467,0
client10468,0
client10469,0
client1047,0
client10470,0
client10471,0
client10472,0
client10473,0
client10474,1
client10475,0
client10476,0
client10477,0
client10478,0
client10479,1
client1048,0
client10480,0
client10481,1
client10482,1
client10483,0
client10484,0
client10485,0
client10486,1
client10487,1
client10488,0
client10489,0
client1049,0
client10490,0
client10491,0
client10492,0
client10493,0
client10494,1
client10495,1
client10496,0
client10497,0
client10498,0
client10499,0
client105,0
client1050,0
client10500,0
client10501,0
client10502,1
client10503,1
client10504,0
client10505,0
client10506,0
client10507,1
client10508,0
client10509,0
client1051,0
client10510,0
client10511,1
client10512,1
client10513,1
client10514,0
client10515,0
client10516,1
client10517,1
client10518,0
client10519,0
client1052,1
client10520,1
client10521,1
client10522,0
client10523,1
client10524,0
client10525,0
client10526,0
client10527,1
client10528,1
client10529,0
client1053,0
client10530,1
client10531,1
client10532,0
client10533,0
client10534,0
client10535,0
client10536,0
client10537,0
client10538,0
client10539,0
client1054,0
client10540,0
client10541,0
client10542,0
client10543,0
client10544,0
client10545,0
client10546,0
client10547,0
client10548,0
client10549,1
client1055,0
client10550,0
client10551,0
client10552,0
client10553,0
client10554,0
client10555,0
client10556,0
client10557,0
client10558,0
client10559,0
client1056,0
client10560,1
client10561,0
client10562,0
client10563,0
client10564,0
client10565,0
client10566,1
client10567,1
client10568,1
client10569,0
client1057,0
client10570,0
client10571,0
client10572,1
client10573,0
client10574,0
client10575,0
client10576,0
client10577,0
client10578,0
client10579,1
client1058,1
client10580,1
client10581,0
client10582,0
client10583,0
client10584,0
client10585,0
client10586,0
client10587,0
client10588,0
client10589,0
client1059,0
client10590,0
client10591,0
client10592,0
client10593,0
client10594,0
client10595,0
client10596,0
client10597,0
client10598,0
client10599,0
client106,0
client1060,0
client10600,0
client10601,1
client10602,1
client10603,0
client10604,0
client10605,1
client10606,0
client10607,1
client10608,0
client10609,1
client1061,1
client10610,1
client10611,0
client10612,0
client10613,0
client10614,0
client10615,0
client10616,1
client10617,0
client10618,0
client10619,0
client1062,0
client10620,0
client10621,0
client10622,0
client10623,1
client10624,0
client10625,0
client10626,0
client10627,0
client10628,0
client10629,0
client1063,0
client10630,0
client10631,0
client10632,0
client10633,0
client10634,0
client10635,0
client10636,0
client10637,1
client10638,1
client10639,0
client1064,1
client10640,0
client10641,0
client10642,0
client10643,0
client10644,0
client10645,0
client10646,0
client10647,0
client10648,0
client10649,1
client1065,1
client10650,0
client10651,0
client10652,0
client10653,0
client10654,0
client10655,0
client10656,0
client10657,1
client10658,0
client10659,0
client1066,1
client10660,0
client10661,0
client10662,0
client10663,0
client10664,1
client10665,1
client10666,0
client10667,0
client10668,0
client10669,0
client1067,1
client10670,1
client10671,0
client10672,0
client10673,1
client10674,0
client10675,0
client10676,1
client10677,0
client10678,0
client10679,0
client1068,0
client10680,0
client10681,0
client10682,0
client10683,0
client10684,0
client10685,0
client10686,0
client10687,0
client10688,0
client10689,0
client1069,1
client10690,1
client10691,1
client10692,0
client10693,0
client10694,0
client10695,0
client10696,0
client10697,0
client10698,0
client10699,0
client107,0
client1070,0
client10700,0
client10701,1
client10702,0
client10703,0
client10704,0
client10705,1
client10706,0
client10707,1
client10708,0
client10709,0
client1071,0
client10710,0
client10711,0
client10712,0
client10713,0
client10714,0
client10715,1
client10716,0
client10717,0
client10718,0
client10719,0
client1072,1
client10720,0
client10721,0
client10722,0
client10723,0
client10724,0
client10725,1
client10726,0
client10727,0
client10728,0
client10729,0
client1073,0
client10730,0
client10731,1
client10732,0
client10733,0
client10734,1
client10735,1
client10736,0
client10737,0
client10738,0
client10739,0
client1074,0
client10740,0
client10741,0
client10742,0
client10743,0
client10744,0
client10745,1
client10746,0
client10747,0
client10748,0
client10749,0
client1075,0
client10750,1
client10751,0
client10752,0
client10753,0
client10754,1
client10755,0
client10756,0
client10757,1
client10758,0
client10759,1
client1076,0
client10760,0
client10761,0
client10762,0
client10763,0
client10764,0
client10765,1
client10766,0
client10767,0
client10768,0
client10769,0
client1077,0
client10770,0
client10771,0
client10772,0
client10773,0
client10774,1
client10775,0
client10776,1
client10777,1
client10778,0
client10779,0
client1078,0
client10780,1
client10781,0
client10782,0
client10783,0
client10784,0
client10785,0
client10786,1
client10787,1
client10788,0
client10789,0
client1079,0
client10790,0
client10791,0
client10792,0
client10793,0
client10794,1
client10795,0
client10796,0
client10797,0
client10798,0
client10799,0
client108,1
client1080,0
client10800,1
client10801,0
client10802,0
client10803,0
client10804,1
client10805,0
client10806,0
client10807,1
client10808,0
client10809,0
client1081,0
client10810,0
client10811,0
client10812,1
client10813,0
client10814,0
client10815,0
client10816,0
client10817,0
client10818,0
client10819,0
client1082,0
client10820,1
client10821,1
client10822,1
client10823,0
client10824,1
client10825,0
client10826,0
client10827,0
client10828,1
client10829,0
client1083,0
client10830,0
client10831,0
client10832,0
client10833,0
client10834,0
client10835,0
client10836,0
client10837,0
client10838,0
client10839,0
client1084,0
client10840,0
client10841,0
client10842,1
client10843,1
client10844,0
client10845,0
client10846,0
client10847,0
client10848,0
client10849,1
client1085,0
client10850,0
client10851,0
client10852,0
client10853,0
client10854,0
client10855,0
client10856,0
client10857,1
client10858,0
client10859,1
client1086,0
client10860,1
client10861,1
client10862,0
client10863,0
client10864,1
client10865,0
client10866,0
client10867,0
client10868,0
client10869,0
client1087,0
client10870,0
client10871,0
client10872,0
client10873,0
client10874,0
client10875,1
client10876,0
client10877,0
client10878,0
client10879,0
client1088,0
client10880,1
client10881,0
client10882,0
client10883,0
client10884,0
client10885,0
client10886,0
client10887,0
client10888,1
client10889,0
client1089,1
client10890,1
client10891,0
client10892,0
client10893,0
client10894,0
client10895,0
client10896,0
client10897,0
client10898,0
client10899,0
client109,0
client1090,0
client10900,0
client10901,0
client10902,0
client10903,0
client10904,0
client10905,0
client10906,0
client10907,0
client10908,0
client10909,0
client1091,0
client10910,0
client10911,1
client10912,0
client10913,0
client10914,0
client10915,0
client10916,0
client10917,0
client10918,0
client10919,1
client1092,0
client10920,0
client10921,0
client10922,0
client10923,0
client10924,1
client10925,0
client10926,0
client10927,0
client10928,0
client10929,0
client1093,1
client10930,0
client10931,0
client10932,0
client10933,0
client10934,0
client10935,0
client10936,0
client10937,1
client10938,0
client10939,1
client1094,0
client10940,0
client10941,0
client10942,0
client10943,0
client10944,0
client10945,0
client10946,0
client10947,0
client10948,0
client10949,1
client1095,1
client10950,0
client10951,0
client10952,0
client10953,1
client10954,0
client10955,0
client10956,0
client10957,0
client10958,0
client10959,0
client1096,1
client10960,1
client10961,1
client10962,0
client10963,0
client10964,1
client10965,0
client10966,0
client10967,0
client10968,1
client10969,0
client1097,0
client10970,1
client10971,0
client10972,0
client10973,0
client10974,0
client10975,0
client10976,0
client10977,0
client10978,0
client10979,0
client1098,0
client10980,0
client10981,0
client10982,0
client10983,0
client10984,0
client10985,1
client10986,0
client10987,1
client10988,0
client10989,0
client1099,0
client10990,0
client10991,0
client10992,0
client10993,0
client10994,0
client10995,0
client10996,0
client10997,0
client10998,0
client10999,0
client11,0
client110,0
client1100,1
client11000,0
client11001,0
client11002,1
client11003,0
client11004,0
client11005,0
client11006,0
client11007,1
client11008,0
client11009,1
client1101,1
client11010,0
client11011,0
client11012,0
client11013,0
client11014,1
client11015,0
client11016,0
client11017,0
client11018,0
client11019,0
client1102,0
client11020,0
client11021,0
client11022,0
client11023,0
client11024,1
client11025,0
client11026,0
client11027,0
client11028,0
client11029,1
client1103,1
client11030,0
client11031,1
client11032,0
client11033,0
client11034,0
client11035,1
client11036,0
client11037,0
client11038,0
client11039,0
client1104,0
client11040,0
client11041,0
client11042,0
client11043,0
client11044,0
client11045,1
client11046,0
client11047,0
client11048,0
client11049,0
client1105,0
client11050,0
client11051,0
client11052,0
client11053,0
client11054,0
client11055,0
client11056,0
client11057,0
client11058,0
client11059,0
client1106,1
client11060,1
client11061,0
client11062,0
client11063,0
client11064,0
client11065,0
client11066,0
client11067,0
client11068,0
client11069,1
client1107,0
client11070,0
client11071,0
client11072,0
client11073,1
client11074,0
client11075,1
client11076,0
client11077,0
client11078,0
client11079,0
client1108,1
client11080,1
client11081,0
client11082,1
client11083,0
client11084,0
client11085,0
client11086,1
client11087,0
client11088,0
client11089,0
client1109,0
client11090,0
client11091,0
client11092,1
client11093,0
client11094,0
client11095,1
client11096,0
client11097,0
client11098,0
client11099,0
client111,0
client1110,0
client11100,1
client11101,0
client11102,0
client11103,0
client11104,0
client11105,0
client11106,0
client11107,1
client11108,0
client11109,0
client1111,0
client11110,0
client11111,1
client11112,0
client11113,1
client11114,0
client11115,0
client11116,1
client11117,1
client11118,1
client11119,0
client1112,0
client11120,0
client11121,1
client11122,0
client11123,0
client11124,1
client11125,0
client11126,0
client11127,1
client11128,0
client11129,0
client1113,0
client11130,0
client11131,0
client11132,0
client11133,0
client11134,0
client11135,0
client11136,0
client11137,0
client11138,0
client11139,0
client1114,1
client11140,0
client11141,1
client11142,0
client11143,1
client11144,0
client11145,0
client11146,0
client11147,0
client11148,1
client11149,0
client1115,1
client11150,0
client11151,0
client11152,0
client11153,0
client11154,1
client11155,0
client11156,0
client11157,0
client11158,0
client11159,0
client1116,0
client11160,0
client11161,0
client11162,0
client11163,0
client11164,1
client11165,1
client11166,1
client11167,0
client11168,1
client11169,0
client1117,0
client11170,1
client11171,0
client11172,1
client11173,1
client11174,0
client11175,0
client11176,0
client11177,1
client11178,1
client11179,0
client1118,0
client11180,0
client11181,1
client11182,0
client11183,0
client11184,0
client11185,0
client11186,0
client11187,0
client11188,0
client11189,0
client1119,1
client11190,1
client11191,0
client11192,0
client11193,0
client11194,0
client11195,0
client11196,0
client11197,0
client11198,1
client11199,0
client112,0
client1120,0
client11200,0
client11201,0
client11202,0
client11203,0
client11204,0
client11205,0
client11206,0
client11207,1
client11208,1
client11209,1
client1121,0
client11210,1
client11211,0
client11212,0
client11213,0
client11214,1
client11215,0
client11216,0
client11217,0
client11218,0
client11219,0
client1122,0
client11220,0
client11221,0
client11222,1
client11223,0
client11224,1
client11225,0
client11226,1
client11227,0
client11228,0
client11229,0
client1123,0
client11230,0
client11231,0
client11232,0
client11233,0
client11234,0
client11235,0
client11236,0
client11237,0
client11238,0
client11239,1
client1124,0
client11240,0
client11241,0
client11242,1
client11243,0
client11244,0
client11245,0
client11246,1
client11247,0
client11248,1
client11249,0
client1125,0
client11250,0
client11251,0
client11252,0
client11253,0
client11254,0
client11255,0
client11256,0
client11257,0
client11258,0
client11259,0
client1126,0
client11260,0
client11261,0
client11262,0
client11263,0
client11264,0
client11265,0
client11266,0
client11267,1
client11268,0
client11269,1
client1127,0
client11270,0
client11271,0
client11272,0
client11273,0
client11274,0
client11275,1
client11276,1
client11277,0
client11278,0
client11279,0
client1128,0
client11280,0
client11281,1
client11282,0
client11283,0
client11284,0
client11285,1
client11286,0
client11287,0
client11288,0
client11289,0
client1129,0
client11290,0
client11291,0
client11292,0
client11293,0
client11294,0
client11295,0
client11296,0
client11297,0
client11298,0
client11299,0
client113,1
client1130,0
client11300,0
client11301,0
client11302,0
client11303,0
client11304,0
client11305,0
client11306,0
client11307,0
client11308,0
client11309,1
client1131,0
client11310,0
client11311,0
client11312,0
client11313,0
client11314,0
client11315,0
client11316,1
client11317,0
client11318,0
client11319,0
client1132,0
client11320,0
client11321,0
client11322,0
client11323,1
client11324,0
client11325,1
client11326,0
client11327,0
client11328,1
client11329,1
client1133,0
client11330,0
client11331,1
client11332,0
client11333,1
client11334,0
client11335,1
client11336,0
client11337,1
client11338,0
client11339,0
client1134,0
client11340,0
client11341,0
client11342,0
client11343,0
client11344,0
client11345,0
client11346,1
client11347,0
client11348,1
client11349,0
client1135,0
client11350,0
client11351,0
client11352,0
client11353,0
client11354,0
client11355,0
client11356,0
client11357,0
client11358,0
client11359,0
client1136,0
client11360,0
client11361,1
client11362,0
client11363,0
client11364,0
client11365,1
client11366,1
client11367,0
client11368,0
client11369,0
client1137,0
client11370,0
client11371,1
client11372,1
client11373,1
client11374,1
client11375,0
client11376,0
client11377,0
client11378,0
client11379,0
client1138,0
client11380,0
client11381,0
client11382,0
client11383,0
client11384,0
client11385,0
client11386,0
client11387,0
client11388,0
client11389,0
client1139,1
client11390,0
client11391,0
client11392,1
client11393,1
client11394,0
client11395,1
client11396,0
client11397,1
client11398,1
client11399,0
client114,0
client1140,0
client11400,0
client11401,0
client11402,0
client11403,1
client11404,0
client11405,0
client11406,0
client11407,0
client11408,1
client11409,0
client1141,0
client11410,0
client11411,0
client11412,0
client11413,0
client11414,1
client11415,1
client11416,0
client11417,0
client11418,0
client11419,0
client1142,0
client11420,0
client11421,0
client11422,0
client11423,0
client11424,0
client11425,1
client11426,0
client11427,0
client11428,0
client11429,0
client1143,0
client11430,0
client11431,0
client11432,0
client11433,0
client11434,1
client11435,0
client11436,0
client11437,0
client11438,0
client11439,0
client1144,0
client11440,0
client11441,0
client11442,0
client11443,0
client11444,0
client11445,0
client11446,1
client11447,0
client11448,0
client11449,0
client1145,0
client11450,0
client11451,0
client11452,0
client11453,0
client11454,0
client11455,0
client11456,0
client11457,0
client11458,0
client11459,0
client1146,0
client11460,0
client11461,0
client11462,1
client11463,0
client11464,1
client11465,0
client11466,0
client11467,0
client11468,1
client11469,1
client1147,0
client11470,0
client11471,1
client11472,0
client11473,0
client11474,0
client11475,0
client11476,1
client11477,0
client11478,0
client11479,1
client1148,0
client11480,0
client11481,0
client11482,0
client11483,0
client11484,0
client11485,0
client11486,0
client11487,0
client11488,1
client11489,0
client1149,0
client11490,0
client11491,0
client11492,0
client11493,1
client11494,0
client11495,0
client11496,0
client11497,1
client11498,0
client11499,1
client115,0
client1150,0
client11500,0
client11501,0
client11502,1
client11503,0
client11504,1
client11505,0
client11506,1
client11507,0
client11508,0
client11509,0
client1151,1
client11510,1
client11511,0
client11512,0
client11513,0
client11514,0
client11515,1
client11516,0
client11517,0
client11518,0
client11519,0
client1152,1
client11520,0
client11521,0
client11522,1
client11523,0
client11524,0
client11525,0
client11526,1
client11527,1
client11528,1
client11529,1
client1153,1
client11530,0
client11531,0
client11532,0
client11533,0
client11534,0
client11535,1
client11536,0
client11537,0
client11538,1
client11539,0
client1154,1
client11540,0
client11541,0
client11542,0
client11543,1
client11544,1
client11545,0
client11546,0
client11547,0
client11548,0
client11549,0
client1155,0
client11550,0
client11551,1
client11552,0
client11553,1
client11554,0
client11555,0
client11556,0
client11557,0
client11558,0
client11559,0
client1156,0
client11560,0
client11561,1
client11562,0
client11563,0
client11564,0
client11565,1
client11566,0
client11567,0
client11568,0
client11569,1
client1157,0
client11570,0
client11571,0
client11572,0
client11573,0
client11574,0
client11575,0
client11576,0
client11577,0
client11578,0
client11579,1
client1158,0
client11580,0
client11581,0
client11582,0
client11583,0
client11584,0
client11585,0
client11586,1
client11587,0
client11588,1
client11589,1
client1159,0
client11590,0
client11591,0
client11592,0
client11593,1
client11594,0
client11595,1
client11596,1
client11597,0
client11598,0
client11599,0
client116,1
client1160,1
client11600,0
client11601,0
client11602,0
client11603,0
client11604,0
client11605,0
client11606,1
client11607,0
client11608,0
client11609,0
client1161,0
client11610,1
client11611,0
client11612,0
client11613,0
client11614,0
client11615,0
client11616,0
client11617,0
client11618,0
client11619,0
client1162,1
client11620,0
client11621,0
client11622,0
client11623,0
client11624,0
client11625,0
client11626,1
client11627,1
client11628,0
client11629,0
client11630,1
client11631,0
client11632,0
client11633,1
client11634,0
client11635,0
client11636,0
client11637,0
client11638,0
client11639,0
client1164,0
client11640,0
client11641,1
client11642,0
client11643,0
client11644,0
client11645,0
client11646,0
client11647,0
client11648,0
client11649,0
client1165,0
client11650,0
client11651,0
client11652,0
client11653,0
client11654,0
client11655,0
client11656,1
client11657,0
client11658,0
client11659,1
client1166,0
client11660,0
client11661,0
client11662,0
client11663,0
client11664,0
client11665,1
client11666,0
client11667,0
client11668,1
client11669,0
client1167,0
client11670,0
client11671,0
client11672,0
client11673,0
client11674,1
client11675,1
client11676,0
client11677,0
client11678,0
client11679,0
client1168,0
client11680,1
client11681,0
client11682,0
client11683,0
client11684,1
client11685,0
client11686,0
client11687,0
client11688,0
client11689,0
client1169,0
client11690,1
client11691,1
client11692,0
client11693,0
client11694,0
client11695,0
client11696,1
client11697,1
client11698,0
client11699,0
client117,0
client1170,1
client11700,0
client11701,0
client11702,0
client11703,0
client11704,1
client11705,0
client11706,1
client11707,1
client11708,0
client11709,0
client1171,0
client11710,0
client11711,0
client11712,0
client11713,0
client11714,0
client11715,1
client11716,0
client11717,0
client11718,0
client11719,0
client1172,0
client11720,1
client11721,0
client11722,0
client11723,0
client11724,0
client11725,0
client11726,0
client11727,0
client11728,0
client11729,1
client1173,0
client11730,0
client11731,0
client11732,0
client11733,1
client11734,0
client11735,1
client11736,0
client11737,0
client11738,0
client11739,0
client1174,1
client11740,0
client11741,0
client11742,0
client11743,0
client11744,0
client11745,1
client11746,0
client11747,0
client11748,0
client11749,0
client1175,1
client11750,0
client11751,0
client11752,0
client11753,0
client11754,0
client11755,0
client11756,0
client11757,0
client11758,1
client11759,0
client1176,1
client11760,0
client11761,0
client11762,0
client11763,0
client11764,0
client11765,1
client11766,0
client11767,0
client11768,0
client11769,1
client1177,0
client11770,1
client11771,0
client11772,0
client11773,0
client11774,0
client11775,0
client11776,0
client11777,0
client11778,0
client11779,0
client1178,0
client11780,0
client11781,0
client11782,1
client11783,0
client11784,1
client11785,1
client11786,0
client11787,0
client11788,0
client11789,0
client1179,0
client11790,0
client11791,0
client11792,0
client11793,0
client11794,0
client11795,0
client11796,0
client11797,0
client11798,0
client11799,0
client118,0
client1180,1
client11800,0
client11801,0
client11802,0
client11803,0
client11804,0
client11805,0
client11806,0
client11807,0
client11808,0
client11809,0
client1181,0
client11810,0
client11811,0
client11812,0
client11813,0
client11814,0
client11815,0
client11816,0
client11817,0
client11818,0
client11819,0
client1182,0
client11820,1
client11821,0
client11822,0
client11823,0
client11824,1
client11825,0
client11826,0
client11827,0
client11828,0
client11829,0
client1183,0
client11830,0
client11831,0
client11832,0
client11833,0
client11834,0
client11835,0
client11836,0
client11837,0
client11838,0
client11839,0
client1184,1
client11840,0
client11841,0
client11842,0
client11843,1
client11844,0
client11845,0
client11846,0
client11847,0
client11848,0
client11849,1
client1185,1
client11850,0
client11851,0
client11852,0
client11853,0
client11854,1
client11855,0
client11856,0
client11857,0
client11858,0
client11859,0
client1186,1
client11860,0
client11861,0
client11862,1
client11863,0
client11864,0
client11865,1
client11866,1
client11867,0
client11868,0
client11869,0
client1187,0
client11870,0
client11871,1
client11872,0
client11873,0
client11874,0
client11875,0
client11876,0
client11877,0
client11878,0
client11879,1
client1188,0
client11880,0
client11881,0
client11882,0
client11883,0
client11884,0
client11885,0
client11886,0
client11887,0
client11888,0
client11889,1
client1189,1
client11890,0
client11891,1
client11892,0
client11893,0
client11894,1
client11895,0
client11896,0
client11897,0
client11898,0
client11899,1
client119,0
client1190,0
client11900,0
client11901,0
client11902,0
client11903,1
client11904,0
client11905,0
client11906,0
client11907,0
client11908,0
client11909,1
client1191,0
client11910,1
client11911,0
client11912,0
client11913,1
client11914,0
client11915,0
client11916,0
client11917,0
client11918,0
client11919,0
client1192,0
client11920,0
client11921,0
client11922,0
client11923,0
client11924,0
client11925,0
client11926,0
client11927,0
client11928,0
client11929,0
client1193,0
client11930,0
client11931,1
client11932,0
client11933,0
client11934,0
client11935,0
client11936,0
client11937,0
client11938,1
client11939,0
client1194,1
client11940,0
client11941,0
client11942,0
client11943,0
client11944,0
client11945,1
client11946,1
client11947,1
client11948,0
client11949,0
client1195,0
client11950,1
client11951,0
client11952,0
client11953,0
client11954,0
client11955,0
client11956,0
client11957,0
client11958,0
client11959,0
client1196,0
client11960,1
client11961,0
client11962,0
client11963,0
client11964,0
client11965,1
client11966,0
client11967,0
client11968,1
client11969,1
client1197,0
client11970,0
client11971,0
client11972,0
client11973,0
client11974,1
client11975,0
client11976,0
client11977,0
client11978,0
client11979,0
client1198,1
client11980,0
client11981,0
client11982,0
client11983,0
client11984,0
client11985,0
client11986,1
client11987,0
client11988,0
client11989,0
client1199,1
client11990,0
client11991,0
client11992,0
client11993,0
client11994,0
client11995,0
client11996,0
client11997,0
client11998,0
client11999,0
client12,0
client120,0
client1200,0
client12000,1
client12001,1
client12002,1
client12003,0
client12004,0
client12005,0
client12006,1
client12007,0
client12008,1
client12009,0
client1201,0
client12010,0
client12011,0
client12012,0
client12013,0
client12014,0
client12015,1
client12016,0
client12017,0
client12018,0
client12019,0
client1202,1
client12020,0
client12021,0
client12022,0
client12023,0
client12024,0
client12025,0
client12026,1
client12027,0
client12028,0
client12029,0
client1203,0
client12030,0
client12031,0
client12032,0
client12033,0
client12034,0
client12035,0
client12036,0
client12037,0
client12038,0
client12039,1
client1204,0
client12040,1
client12041,0
client12042,0
client12043,0
client12044,0
client12045,0
client12046,1
client12047,0
client12048,0
client12049,1
client1205,1
client12050,1
client12051,1
client12052,0
client12053,0
client12054,0
client12055,0
client12056,0
client12057,0
client12058,1
client12059,1
client1206,1
client12060,0
client12061,0
client12062,0
client12063,0
client12064,0
client12065,1
client12066,0
client12067,0
client12068,0
client12069,0
client1207,0
client12070,0
client12071,0
client12072,0
client12073,0
client12074,0
client12075,0
client12076,0
client12077,0
client12078,0
client12079,0
client1208,0
client12080,0
client12081,1
client12082,0
client12083,0
client12084,0
client12085,0
client12086,0
client12087,0
client12088,0
client12089,0
client1209,0
client12090,1
client12091,0
client12092,0
client12093,1
client12094,0
client12095,0
client12096,0
client12097,0
client12098,0
client12099,0
client121,0
client1210,0
